name,short_team,team,drafted,url,handed,seasons,war,war/season
Evan Phillips,ATL,Braves,2015,/players/p/phillev01.shtml,RHP,1,-0.1,-0.1
Bryse Wilson,ATL,Braves,2016,/players/w/wilsobr02.shtml,RHP,1,-0.1,-0.1
Kyle Wright,ATL,Braves,2017,/players/w/wrighky01.shtml,RHP,1,0.0,0.0
Rob Wooten,MIL,Brewers,2008,/players/w/wootero01.shtml,RHP,3,-0.3,-0.1
Hiram Burgos,MIL,Brewers,2009,/players/b/burgohi01.shtml,RHP,1,-0.8,-0.8
Tyler Cravy,MIL,Brewers,2009,/players/c/cravyty01.shtml,RHP,2,0.0,0.0
Mike Fiers,MIL,Brewers,2009,/players/f/fiersmi01.shtml,RHP,5,4.4,0.88
Jimmy Nelson,MIL,Brewers,2010,/players/n/nelsoji02.shtml,RHP,5,4.9,0.98
Tyler Thornburg,MIL,Brewers,2010,/players/t/thornty01.shtml,RHP,5,4.1,0.82
Taylor Jungmann,MIL,Brewers,2011,/players/j/jungmta01.shtml,RHP,3,0.8,0.27
Jorge Lopez,MIL,Brewers,2011,/players/l/lopezjo02.shtml,RHP,3,0.3,0.1
David Goforth,MIL,Brewers,2011,/players/g/goforda01.shtml,RHP,3,-0.5,-0.17
Jacob Barnes,MIL,Brewers,2011,/players/b/barneja01.shtml,RHP,3,0.8,0.27
Tyler Wagner,MIL,Brewers,2012,/players/w/wagnety01.shtml,RHP,1,-0.3,-0.3
Damien Magnifico,MIL,Brewers,2012,/players/m/magnida01.shtml,RHP,1,0.0,0.0
Brent Suter,MIL,Brewers,2012,/players/s/suterbr01.shtml,LHP,3,2.0,0.67
Taylor Williams,MIL,Brewers,2013,/players/w/willita01.shtml,RHP,2,-0.2,-0.1
Brandon Woodruff,MIL,Brewers,2014,/players/w/woodrbr01.shtml,RHP,2,0.8,0.4
Corbin Burnes,MIL,Brewers,2016,/players/b/burneco01.shtml,RHP,1,0.7,0.7
Lance Lynn,STL,Cardinals,2008,/players/l/lynnla01.shtml,RHP,6,14.7,2.45
Eric Fornataro,STL,Cardinals,2008,/players/f/fornaer01.shtml,RHP,1,-0.1,-0.1
Mitch Harris,STL,Cardinals,2008,/players/h/harrimi03.shtml,RHP,1,0.0,0.0
Sam Freeman,STL,Cardinals,2008,/players/f/freemsa01.shtml,LHP,3,0.6,0.2
Kevin Siegrist,STL,Cardinals,2008,/players/s/siegrke01.shtml,LHP,5,4.4,0.88
Shelby Miller,STL,Cardinals,2009,/players/m/millesh01.shtml,RHP,3,5.6,1.87
Joe Kelly,STL,Cardinals,2009,/players/k/kellyjo05.shtml,RHP,3,3.2,1.07
Trevor Rosenthal,STL,Cardinals,2009,/players/r/rosentr01.shtml,RHP,6,5.8,0.97
Keith Butler,STL,Cardinals,2009,/players/b/butleke01.shtml,RHP,2,-0.1,-0.05
Sam Tuivailala,STL,Cardinals,2010,/players/t/tuivasa01.shtml,SS,5,0.8,0.16
John Gast,STL,Cardinals,2010,/players/g/gastjo01.shtml,LHP,1,0.0,0.0
Tyler Lyons,STL,Cardinals,2010,/players/l/lyonsty01.shtml,LHP,6,0.7,0.12
Josh Lucas,STL,Cardinals,2010,/players/l/lucasjo02.shtml,RHP,1,0.1,0.1
Dean Kiekhefer,STL,Cardinals,2010,/players/k/kiekhde01.shtml,LHP,1,0.0,0.0
Seth Maness,STL,Cardinals,2011,/players/m/manesse01.shtml,RHP,4,2.1,0.53
Ryan Sherriff,STL,Cardinals,2011,/players/s/sherrry01.shtml,LHP,2,0.1,0.05
Tim Cooney,STL,Cardinals,2012,/players/c/cooneti01.shtml,LHP,1,0.6,0.6
Marco Gonzales,STL,Cardinals,2013,/players/g/gonzama02.shtml,LHP,3,-0.2,-0.07
Mike Mayers,STL,Cardinals,2013,/players/m/mayermi01.shtml,RHP,3,-1.3,-0.43
Luke Weaver,STL,Cardinals,2014,/players/w/weavelu01.shtml,RHP,3,-1.0,-0.33
Jack Flaherty,STL,Cardinals,2014,/players/f/flaheja01.shtml,RHP,2,2.3,1.15
Austin Gomber,STL,Cardinals,2014,/players/g/gombeau01.shtml,LHP,1,0.0,0.0
Daniel Ponce de Leon,STL,Cardinals,2014,/players/p/ponceda01.shtml,RHP,1,0.7,0.7
Jordan Hicks,STL,Cardinals,2015,/players/h/hicksjo03.shtml,RHP,1,0.3,0.3
Dakota Hudson,STL,Cardinals,2016,/players/h/hudsoda02.shtml,RHP,1,0.5,0.5
Andrew Cashner,CHC,Cubs,2008,/players/c/cashnan01.shtml,RHP,2,0.3,0.15
Chris Carpenter,CHC,Cubs,2008,/players/c/carpech02.shtml,RHP,1,0.2,0.2
Casey Coleman,CHC,Cubs,2008,/players/c/colemca01.shtml,RHP,3,-0.7,-0.23
Jeff Beliveau,CHC,Cubs,2008,/players/b/belivje01.shtml,LHP,1,0.0,0.0
Chris Rusin,CHC,Cubs,2009,/players/r/rusinch01.shtml,LHP,3,0.1,0.03
Brooks Raley,CHC,Cubs,2009,/players/r/raleybr01.shtml,LHP,2,-0.9,-0.45
Eric Jokisch,CHC,Cubs,2010,/players/j/jokiser01.shtml,LHP,1,0.3,0.3
Dallas Beeler,CHC,Cubs,2010,/players/b/beeleda01.shtml,RHP,2,-0.4,-0.2
Dillon Maples,CHC,Cubs,2011,/players/m/mapledi01.shtml,RHP,2,-0.5,-0.25
Pierce Johnson,CHC,Cubs,2012,/players/j/johnspi01.shtml,RHP,1,-0.1,-0.1
Duane Underwood Jr.,CHC,Cubs,2012,/players/u/underdu01.shtml,RHP,1,0.2,0.2
Rob Zastryzny,CHC,Cubs,2013,/players/z/zastrro01.shtml,LHP,3,0.3,0.1
James Norwood,CHC,Cubs,2014,/players/n/norwoja01.shtml,RHP,1,-0.1,-0.1
Andrew Bellatti,TBR,Rays,2009,/players/b/bellaan01.shtml,RHP,1,0.6,0.6
Dylan Floro,TBR,Rays,2009,/players/f/florody01.shtml,RHP,1,0.0,0.0
C.J. Riefenhauser,TBR,Rays,2010,/players/r/riefecj01.shtml,LHP,2,-0.5,-0.25
Blake Snell,TBR,Rays,2011,/players/s/snellbl01.shtml,LHP,3,9.3,3.1
Jake Faria,TBR,Rays,2011,/players/f/fariaja01.shtml,RHP,2,1.2,0.6
Dylan Floro,TBR,Rays,2012,/players/f/florody01.shtml,RHP,1,0.0,0.0
Ryan Garton,TBR,Rays,2012,/players/g/gartory01.shtml,RHP,2,-0.3,-0.15
Austin Pruitt,TBR,Rays,2013,/players/p/pruitau01.shtml,RHP,2,-1.1,-0.55
Jaime Schultz,TBR,Rays,2013,/players/s/schulja02.shtml,RHP,1,-0.2,-0.2
Hunter Wood,TBR,Rays,2013,/players/w/woodhu01.shtml,RHP,2,0.4,0.2
Daniel Schlereth,ARI,Diamondbacks,2008,/players/s/schleda01.shtml,LHP,1,-0.2,-0.2
Wade Miley,ARI,Diamondbacks,2008,/players/m/mileywa01.shtml,LHP,4,5.0,1.25
Bryan Shaw,ARI,Diamondbacks,2008,/players/s/shawbr01.shtml,RHP,2,0.6,0.3
Ryan Cook,ARI,Diamondbacks,2008,/players/c/cookry01.shtml,RHP,1,-0.2,-0.2
Bradin Hagens,ARI,Diamondbacks,2009,/players/h/hagenbr01.shtml,RHP,1,0.0,0.0
Chase Anderson,ARI,Diamondbacks,2009,/players/a/anderch01.shtml,RHP,2,1.8,0.9
Charles Brewer,ARI,Diamondbacks,2009,/players/b/brewech01.shtml,RHP,1,0.1,0.1
Mike Bolsinger,ARI,Diamondbacks,2010,/players/b/bolsimi01.shtml,RHP,1,-0.9,-0.9
Keith Hessler,ARI,Diamondbacks,2010,/players/h/hesslke01.shtml,LHP,2,-0.5,-0.25
Trevor Bauer,ARI,Diamondbacks,2011,/players/b/bauertr01.shtml,RHP,1,-0.3,-0.3
Archie Bradley,ARI,Diamondbacks,2011,/players/b/bradlar01.shtml,RHP,4,4.8,1.2
Andrew Chafin,ARI,Diamondbacks,2011,/players/c/chafian01.shtml,LHP,5,3.3,0.66
Evan Marshall,ARI,Diamondbacks,2011,/players/m/marshev01.shtml,RHP,3,-0.2,-0.07
Jake Barrett,ARI,Diamondbacks,2012,/players/b/barreja01.shtml,RHP,3,0.8,0.27
Braden Shipley,ARI,Diamondbacks,2013,/players/s/shiplbr01.shtml,RHP,3,-0.1,-0.03
Jimmie Sherfy,ARI,Diamondbacks,2013,/players/s/sherfji01.shtml,RHP,2,1.1,0.55
Steve Hathaway,ARI,Diamondbacks,2013,/players/h/hathast01.shtml,LHP,1,0.1,0.1
Zac Curtis,ARI,Diamondbacks,2014,/players/c/curtiza01.shtml,LHP,1,-0.2,-0.2
Josh Lindblom,LAD,Dodgers,2008,/players/l/lindbjo01.shtml,RHP,2,1.5,0.75
Nathan Eovaldi,LAD,Dodgers,2008,/players/e/eovalna01.shtml,RHP,2,1.1,0.55
Danny Coulombe,LAD,Dodgers,2008,/players/c/couloda01.shtml,LHP,2,-0.2,-0.1
Matt Magill,LAD,Dodgers,2008,/players/m/magilma01.shtml,RHP,1,-1.0,-1.0
Zach Lee,LAD,Dodgers,2010,/players/l/leeza01.shtml,RHP,1,-0.3,-0.3
Red Patterson,LAD,Dodgers,2010,/players/p/pattere02.shtml,RHP,1,0.2,0.2
Shawn Tolleson,LAD,Dodgers,2010,/players/t/tollesh01.shtml,RHP,2,0.1,0.05
Paco Rodriguez,LAD,Dodgers,2012,/players/r/rodrist02.shtml,LHP,4,2.1,0.53
Onelki Garcia,LAD,Dodgers,2012,/players/g/garcion01.shtml,LHP,1,-0.1,-0.1
Ross Stripling,LAD,Dodgers,2012,/players/s/stripro01.shtml,RHP,3,3.9,1.3
Danny Coulombe,LAD,Dodgers,2012,/players/c/couloda01.shtml,LHP,2,-0.2,-0.1
Jose De Leon,LAD,Dodgers,2013,/players/d/deleojo03.shtml,RHP,1,-0.6,-0.6
Brock Stewart,LAD,Dodgers,2014,/players/s/stewabr01.shtml,RHP,3,-0.7,-0.23
Caleb Ferguson,LAD,Dodgers,2014,/players/f/ferguca01.shtml,LHP,1,0.3,0.3
Walker Buehler,LAD,Dodgers,2015,/players/b/buehlwa01.shtml,RHP,2,3.2,1.6
Eric Surkamp,SFG,Giants,2008,/players/s/surkaer01.shtml,LHP,2,-0.9,-0.45
Chris Heston,SFG,Giants,2009,/players/h/hestoch01.shtml,RHP,3,1.2,0.4
Jake Dunning,SFG,Giants,2009,/players/d/dunnija01.shtml,RHP,2,0.3,0.15
Heath Hembree,SFG,Giants,2010,/players/h/hembrhe01.shtml,RHP,1,0.3,0.3
Mike Kickham,SFG,Giants,2010,/players/k/kickhmi01.shtml,LHP,2,-1.6,-0.8
Brett Bochy,SFG,Giants,2010,/players/b/bochybr02.shtml,RHP,2,0.1,0.05
Kyle Crick,SFG,Giants,2011,/players/c/crickky01.shtml,RHP,1,0.4,0.4
Josh Osich,SFG,Giants,2011,/players/o/osichjo01.shtml,LHP,4,-1.0,-0.25
Ray Black,SFG,Giants,2011,/players/b/blackra01.shtml,RHP,1,-0.4,-0.4
Derek Law,SFG,Giants,2011,/players/l/lawde01.shtml,RHP,3,1.1,0.37
Cody Hall,SFG,Giants,2011,/players/h/hallco01.shtml,RHP,1,-0.1,-0.1
Chris Stratton,SFG,Giants,2012,/players/s/stratch01.shtml,RHP,3,0.7,0.23
Steven Okert,SFG,Giants,2012,/players/o/okertst01.shtml,LHP,3,0.2,0.07
Ty Blach,SFG,Giants,2012,/players/b/blachty01.shtml,LHP,3,2.2,0.73
Dan Slania,SFG,Giants,2013,/players/s/slanida01.shtml,RHP,1,0.0,0.0
D.J. Snelten,SFG,Giants,2013,/players/s/sneltdj01.shtml,LHP,1,-0.2,-0.2
Tyler Beede,SFG,Giants,2014,/players/b/beedety01.shtml,RHP,1,-0.3,-0.3
Andrew Suarez,SFG,Giants,2015,/players/s/suarean01.shtml,LHP,1,0.5,0.5
Zach Putnam,CLE,Indians,2008,/players/p/putnaza01.shtml,RHP,1,-0.1,-0.1
Matt Langwell,CLE,Indians,2008,/players/l/langwma01.shtml,RHP,1,0.0,0.0
T.J. House,CLE,Indians,2008,/players/h/housetj01.shtml,LHP,3,1.4,0.47
Alex White,CLE,Indians,2009,/players/w/whiteal01.shtml,RHP,1,0.2,0.2
Austin Adams,CLE,Indians,2009,/players/a/adamsau01.shtml,RHP,3,-0.6,-0.2
Preston Guilmet,CLE,Indians,2009,/players/g/guilmpr01.shtml,RHP,1,-0.3,-0.3
Joe Colon,CLE,Indians,2009,/players/c/colonjo01.shtml,RHP,1,-0.3,-0.3
Cody Allen,CLE,Indians,2010,/players/a/allenco01.shtml,RHP,7,9.0,1.29
Cody Anderson,CLE,Indians,2011,/players/a/anderco01.shtml,RHP,2,1.7,0.85
Ryan Merritt,CLE,Indians,2011,/players/m/merriry01.shtml,LHP,2,1.1,0.55
Shawn Armstrong,CLE,Indians,2011,/players/a/armstsh01.shtml,RHP,3,0.7,0.23
Shawn Morimando,CLE,Indians,2011,/players/m/morimsh01.shtml,LHP,1,-0.2,-0.2
Cody Allen,CLE,Indians,2011,/players/a/allenco01.shtml,RHP,7,9.0,1.29
Kyle Crockett,CLE,Indians,2013,/players/c/crockky01.shtml,LHP,4,1.2,0.3
Adam Plutko,CLE,Indians,2013,/players/p/plutkad01.shtml,RHP,2,0.1,0.05
Shane Bieber,CLE,Indians,2016,/players/b/biebesh01.shtml,RHP,1,1.0,1.0
Bobby LaFromboise,SEA,Mariners,2008,/players/l/lafrobo01.shtml,LHP,1,-0.2,-0.2
Brandon Maurer,SEA,Mariners,2008,/players/m/maurebr01.shtml,RHP,2,-1.6,-0.8
Anthony Vasquez,SEA,Mariners,2009,/players/v/vasquan01.shtml,LHP,1,-1.4,-1.4
Taijuan Walker,SEA,Mariners,2010,/players/w/walketa01.shtml,RHP,4,2.6,0.65
James Paxton,SEA,Mariners,2010,/players/p/paxtoja01.shtml,LHP,6,11.0,1.83
Stephen Pryor,SEA,Mariners,2010,/players/p/pryorst01.shtml,RHP,3,0.5,0.17
Carter Capps,SEA,Mariners,2011,/players/c/cappsca01.shtml,RHP,2,-0.4,-0.2
Carson Smith,SEA,Mariners,2011,/players/s/smithca02.shtml,RHP,2,2.8,1.4
Edwin Diaz,SEA,Mariners,2012,/players/d/diazed04.shtml,RHP,3,5.5,1.83
Dominic Leone,SEA,Mariners,2012,/players/l/leonedo01.shtml,RHP,2,1.0,0.5
Tyler Olson,SEA,Mariners,2013,/players/o/olsonty01.shtml,LHP,1,-0.1,-0.1
Emilio Pagan,SEA,Mariners,2013,/players/p/paganem01.shtml,RHP,1,0.7,0.7
Dan Altavilla,SEA,Mariners,2014,/players/a/altavda01.shtml,RHP,3,0.9,0.3
Andrew Moore,SEA,Mariners,2015,/players/m/moorean02.shtml,RHP,1,0.0,0.0
Matt Festa,SEA,Mariners,2016,/players/f/festama01.shtml,RHP,1,0.2,0.2
Brad Hand,FLA,Marlins,2008,/players/h/handbr01.shtml,LHP,1,0.5,0.5
Elih Villanueva,FLA,Marlins,2008,/players/v/villael01.shtml,RHP,1,-0.4,-0.4
AJ Ramos,MIA,Marlins,2009,/players/r/ramosaj01.shtml,RHP,6,6.5,1.08
Austin Brice,MIA,Marlins,2010,/players/b/briceau01.shtml,RHP,1,-0.4,-0.4
Jose Fernandez,MIA,Marlins,2011,/players/f/fernajo02.shtml,RHP,4,12.8,3.2
Adam Conley,MIA,Marlins,2011,/players/c/conlead01.shtml,LHP,4,0.5,0.12
Jake Esch,MIA,Marlins,2011,/players/e/eschja01.shtml,2B,1,-0.1,-0.1
Andrew Heaney,MIA,Marlins,2012,/players/h/heanean01.shtml,LHP,1,-0.3,-0.3
Drew Steckenrider,MIA,Marlins,2012,/players/s/steckdr01.shtml,RHP,2,0.6,0.3
Nick Wittgren,MIA,Marlins,2012,/players/w/wittgni01.shtml,RHP,3,1.0,0.33
Brian Ellington,MIA,Marlins,2012,/players/e/ellinbr02.shtml,RHP,3,-0.4,-0.13
Dillon Peters,MIA,Marlins,2014,/players/p/peterdi01.shtml,LHP,2,-0.6,-0.3
Ben Meyer,MIA,Marlins,2015,/players/m/meyerbe02.shtml,RHP,1,-0.8,-0.8
Collin McHugh,NYM,Mets,2008,/players/m/mchugco01.shtml,RHP,2,-1.2,-0.6
Chris Schwinden,NYM,Mets,2008,/players/s/schwich01.shtml,RHP,2,-0.7,-0.35
Steven Matz,NYM,Mets,2009,/players/m/matzst01.shtml,LHP,4,5.1,1.27
Matt Harvey,NYM,Mets,2010,/players/h/harvema01.shtml,RHP,6,10.4,1.73
Jacob deGrom,NYM,Mets,2010,/players/d/degroja01.shtml,RHP,5,25.8,5.16
Akeel Morris,NYM,Mets,2010,/players/m/morriak01.shtml,RHP,1,-0.2,-0.2
Erik Goeddel,NYM,Mets,2010,/players/g/goedder01.shtml,RHP,4,0.7,0.17
Josh Edgin,NYM,Mets,2010,/players/e/edginjo01.shtml,LHP,5,1.7,0.34
Tyler Pill,NYM,Mets,2011,/players/p/pillty01.shtml,RHP,1,-0.3,-0.3
Jack Leathersich,NYM,Mets,2011,/players/l/leathja01.shtml,LHP,1,0.3,0.3
Robert Gsellman,NYM,Mets,2011,/players/g/gsellro01.shtml,RHP,3,0.4,0.13
Seth Lugo,NYM,Mets,2011,/players/l/lugose01.shtml,RHP,3,4.7,1.57
Chasen Bradford,NYM,Mets,2011,/players/b/bradfch02.shtml,RHP,1,0.3,0.3
Corey Oswalt,NYM,Mets,2012,/players/o/oswalco01.shtml,RHP,1,-0.5,-0.5
Paul Sewald,NYM,Mets,2012,/players/s/sewalpa01.shtml,RHP,2,-0.9,-0.45
Chris Flexen,NYM,Mets,2012,/players/f/flexech01.shtml,RHP,2,-1.9,-0.95
Tim Peterson,NYM,Mets,2012,/players/p/peterti01.shtml,RHP,1,-0.4,-0.4
Tyler Bashlor,NYM,Mets,2013,/players/b/bashlty01.shtml,RHP,1,0.1,0.1
Kevin McGowan,NYM,Mets,2013,/players/m/mcgowke01.shtml,RHP,1,0.0,0.0
P.J. Conlon,NYM,Mets,2015,/players/c/conlopj01.shtml,LHP,1,-0.2,-0.2
Tommy Milone,WSN,Nationals,2008,/players/m/milonto01.shtml,LHP,1,0.4,0.4
Stephen Strasburg,WSN,Nationals,2009,/players/s/strasst01.shtml,RHP,9,26.2,2.91
Drew Storen,WSN,Nationals,2009,/players/s/storedr01.shtml,RHP,6,5.2,0.87
Taylor Jordan,WSN,Nationals,2009,/players/j/jordata01.shtml,RHP,3,-0.6,-0.2
Nate Karns,WSN,Nationals,2009,/players/k/karnsna01.shtml,RHP,1,-0.4,-0.4
Sammy Solis,WSN,Nationals,2010,/players/s/solissa01.shtml,LHP,4,0.3,0.07
A.J. Cole,WSN,Nationals,2010,/players/c/coleaj01.shtml,RHP,4,-0.2,-0.05
Matt Grace,WSN,Nationals,2010,/players/g/gracema02.shtml,LHP,4,1.5,0.38
Aaron Barrett,WSN,Nationals,2010,/players/b/barreaa01.shtml,RHP,2,0.4,0.2
Taylor Hill,WSN,Nationals,2011,/players/h/hillta01.shtml,RHP,2,-0.2,-0.1
